Temperature,X,Y,Motor_Condition
39.47222222,14.1197,15.8263,0
39.35555556,14.2646,15.8263,0
39.37777778,3.9284,14.9569,0
38.28888889,14.1036,15.8263,0
38.75555556,11.0446,15.8263,0
39.22222222,13.9587,14.9569,0
37.73333333,12.3648,9.982,0
38.77222222,14.1519,9.982,0
40.82222222,11.3183,9.982,0
43.77222222,12.5258,9.982,0
46.01666667,17.5651,11.2056,0
47.14444444,19.7869,11.4471,0
47.8,21.9443,11.27,0
47.33333333,20.6885,11.27,0
48.87777778,15.3755,11.4471,0
48.91111111,10.4006,11.27,0
45.38888889,14.4095,11.27,0
45.55,11.1573,11.4471,0
44.25555556,8.5169,11.2056,0
43.14444444,7.6314,11.2056,0
41.55,7.3899,11.0285,0
41.18333333,4.9266,9.982,0
40.11666667,6.6493,15.8263,0
40.2,3.9284,14.9569,0
40.42222222,16.9855,15.8263,0
39.91111111,17.2109,15.8263,0
41.18333333,10.8192,14.9569,0
37.15555556,11.0768,15.8263,0
36.11111111,6.6493,15.8263,0
36.78888889,13.0088,14.9569,0
37.26111111,11.1734,6.1985,0
37.8,12.8156,8.05,0
39.87222222,13.7494,9.982,0
42.22222222,15.6331,9.982,0
45.09444444,17.549,9.982,0
47.35555556,22.7815,9.982,0
49.00555556,23.8924,9.982,0
50.04444444,28.3682,9.982,0
51.05,26.9031,10.3523,0
51.18333333,25.6956,9.982,0
50.11666667,25.3092,9.982,0
50.21666667,18.1125,10.3523,0
50,23.4255,9.982,0
47.8,20.0445,11.2056,0
46.06111111,21.3969,9.982,0
45.02222222,21.3808,9.982,0
44.42222222,20.0123,15.8263,0
44.25555556,16.5025,14.9569,0
43.77222222,17.0982,15.8263,0
43.28333333,14.3612,15.8263,0
38.63333333,22.0409,6.6976,0
41.25,11.3344,15.8263,0
41.18333333,11.2056,9.9015,0
40.69444444,10.4006,6.6976,0
41.11111111,12.0106,5.9731,0
41.11111111,9.2092,10.8031,0
42.16666667,9.9015,10.6743,0
42.75555556,13.8299,10.8192,0
43.83888889,9.0965,10.8192,0
46.18333333,0.644,10.7548,0
47.51666667,0.6762,10.8997,0
47.38333333,3.864,10.8514,0
47.36111111,7.8246,11.0768,0
47.20555556,15.5848,10.8514,0
45.63333333,23.6992,10.8836,0
43.57777778,20.9622,7.6153,0
40.91111111,22.3951,2.6565,0
38.8,26.5006,2.6565,0
38.96111111,23.2162,3.8157,0
38.2,25.4219,4.4919,0
37.68888889,28.1267,4.4436,0
37.76666667,19.2878,5.6833,0
38.2,20.447,3.1073,0
38.17777778,27.8691,3.2039,0
37.31111111,6.7459,14.0553,0
37.64444444,14.9086,6.118,0
36.62222222,25.0355,6.118,0
36.68333333,19.8352,6.1663,0
36.08888889,28.0945,7.9695,0
36.06666667,27.9818,6.3434,0
36.14444444,30.8637,10.5455,0
37.13333333,32.1678,11.2056,0
37.20555556,26.5328,11.27,0
37.56666667,28.336,10.5455,0
38.9,29.8333,11.27,0
39.96111111,28.4809,11.27,0
39.88888889,28.5131,11.0768,0
41.06666667,25.6956,11.27,0
40.11666667,25.3414,11.27,0
41.03888889,21.413,9.982,0
40.65,17.8549,14.9086,0
40.05,15.1984,9.982,0
39.9,15.7297,11.0285,0
38.79444444,12.3648,9.982,0
37.82777778,13.8943,15.8263,0
37.85555556,9.8049,15.0052,0
37.31666667,6.6654,15.8746,0
37.24444444,7.1162,15.8746,0
35.43888889,3.7191,9.982,0
37.2,14.4739,15.8263,0
36.68888889,20.5275,15.8263,0
36.21111111,19.3039,14.9569,0
36.11111111,17.4363,9.982,0
36.11111111,20.4148,9.982,0
36.17222222,17.0499,9.982,0
37.22222222,20.5114,9.982,0
37.28888889,17.6456,9.982,0
37.40555556,14.4095,9.982,0
37.96111111,10.7548,10.0464,0
38.03333333,4.8622,10.0464,0
39.07777778,2.3828,10.0303,0
39.05,0.322,9.982,0
39.05,3.2522,11.2056,0
39.18333333,3.0107,11.0285,0
39.07222222,10.465,9.982,0
37.98333333,7.3416,9.982,0
38.07222222,9.5151,9.982,0
37.89444444,9.9981,9.982,0
37.31111111,13.685,11.9784,0
37.33888889,11.5437,14.168,0
36.62222222,12.719,14.9086,0
36.06666667,12.8961,14.9086,0
38.33888889,0.6923,15.0052,0
35.18333333,5.5384,9.982,0
33.72222222,5.2003,9.982,0
34.85555556,5.6189,5.9248,0
35.21111111,4.7656,1.2236,0
36.25555556,7.9212,7.2128,0
37.79444444,9.7566,10.6743,0
40.05,9.6922,11.2056,0
42.2,14.49,9.982,0
42.7,20.3343,11.0285,0
43.93333333,23.5865,11.27,0
45.09444444,22.2985,11.27,0
45.15,14.7154,11.4471,0
46.17777778,14.49,11.27,0
46.25,14.7154,11.27,0
46.29444444,19.5937,11.4471,0
46.1,14.8281,11.1251,0
42.95555556,11.9784,11.27,0
43.85,11.5598,11.4471,0
42.77777778,14.2485,10.0464,0
42.15,11.2539,15.8746,0
40.67777778,5.7799,15.0052,0
40.44444444,2.6404,15.8746,0
39.82222222,5.313,15.8746,0
41.02777778,11.3827,14.9569,0
37.13888889,3.6547,14.9086,0
37.62222222,10.8675,14.9086,0
37.62777778,6.5205,13.3791,0
37.04444444,11.3988,9.982,0
38.6,9.66,9.982,0
39.65,15.9551,9.982,0
42.10555556,13.1698,9.982,0
42.77777778,13.1698,11.2056,0
43.81111111,9.6761,11.4471,0
46.01666667,11.2378,11.27,0
47.12777778,12.7029,11.27,0
47.14444444,10.6099,11.4471,0
47.77777778,7.9534,11.2056,0
47.77777778,2.5921,11.2056,0
47.80555556,11.0124,10.3523,0
46.15555556,9.1931,9.982,0
44.05,9.1609,9.982,0
43.08888889,9.2736,9.982,0
42.28888889,9.4507,9.982,0
42.77777778,11.0768,15.8263,0
42.72777778,13.3791,14.9569,0
42.26666667,14.1358,15.8263,0
41.71111111,11.3183,15.8263,0
40.82777778,9.177,14.168,0
42.2,14.168,15.8263,0
42.2,14.2968,15.8263,0
41.68888889,13.8299,14.9569,0
41.20555556,14.007,9.982,0
41.13333333,15.4882,9.982,0
41.43888889,13.8782,10.3523,0
43.03333333,14.4578,9.982,0
47.24444444,25.0194,11.27,0
47.73888889,27.37,11.4471,0
47.84444444,22.218,11.27,0
48.86111111,23.5382,11.27,0
48.66666667,19.8996,11.3988,0
47.82222222,17.5007,11.27,0
47.8,17.6939,11.27,0
47.35,19.5615,11.3988,0
46.06666667,21.8155,11.2056,0
44.93333333,17.2753,11.2056,0
43.92222222,11.7691,11.2861,0
42.75555556,11.0446,11.0768,0
42.75555556,11.0607,15.6975,0
42.37222222,7.2933,14.8764,0
41.18333333,6.923,15.8263,0
41.66666667,11.1734,15.8263,0
38.97777778,10.3201,6.8425,0
40.57777778,11.1734,14.9086,0
40.53333333,14.007,14.9086,0
40.58888889,7.2933,14.168,0
39.98333333,6.7298,15.8263,0
41.02222222,7.889,9.982,0
43.53888889,11.8657,9.982,0
43.88888889,20.0123,11.2056,0
45,17.5812,11.2056,0
47.18333333,15.9551,11.4471,0
46.2,16.3093,11.27,0
47.75,17.7744,11.2056,0
48.40555556,19.0785,15.3594,0
47.82222222,17.5973,11.27,0
47.31111111,20.3343,11.27,0
47.50555556,13.7172,11.4471,0
47.26666667,14.3773,9.982,0
45.13888889,10.8997,9.982,0
43.25,4.7173,9.982,0
42.29444444,4.669,9.982,0
40.7,3.5742,15.8263,0
39.85555556,5.7477,14.9569,0
39.52222222,11.27,11.9784,0
38.40555556,3.1234,11.9784,0
43.01111111,9.6278,14.9569,0
37.73333333,3.4293,4.2987,0
36.13888889,3.3488,4.1216,0
36.47222222,2.9946,4.7656,0
36.62777778,3.3005,2.9302,0
38.68888889,1.4329,5.8443,0
41.99444444,2.415,9.6117,0
43.76666667,4.1538,9.6761,0
45.08888889,7.3738,9.9015,0
46.45555556,7.8085,11.0768,0
47.31111111,7.3738,11.27,0
47.87222222,8.372,11.27,0
49.03888889,7.0679,11.4471,0
48.97777778,10.8675,11.27,0
49.00555556,4.8139,11.2056,0
49.01111111,4.7978,11.3988,0
47.86666667,10.9319,11.2056,0
47.26666667,10.8514,9.982,0
46.18888889,5.0876,10.3523,0
44.88333333,9.177,9.982,0
44.32777778,10.9319,15.8263,0
44.51111111,6.3756,14.9569,0
44.37222222,6.5366,15.8263,0
44.87777778,14.2163,15.8263,0
40.40555556,3.6064,2.0125,0
42.82222222,8.4364,11.2056,0
42.8,14.4256,14.9086,0
42.82777778,13.8943,14.168,0
42.26666667,15.778,11.2056,0
42.26666667,15.5848,11.27,0
42.18333333,12.3809,11.0768,0
42.17222222,20.3826,11.27,0
42.71111111,22.0892,11.27,0
45.60555556,22.3468,10.3523,0
46.02222222,18.0642,11.2056,0
47.2,17.6456,11.2056,0
47.21666667,14.0875,11.0285,0
47.82777778,13.4113,11.2056,0
47.82777778,14.6188,11.2056,0
47.73333333,9.2414,11.0285,0
46.27222222,23.0713,11.2056,0
43.16666667,3.7674,5.2164,0
43.25555556,3.1395,8.05,0
43.01111111,10.3362,9.982,0
42.45555556,5.796,14.9086,0
42.48888889,9.8854,14.5866,0
39.55555556,6.4883,15.8263,0
40.62222222,14.0231,15.8263,0
38.72222222,4.5724,11.3988,0
40.53333333,10.7709,15.8263,0
39.44444444,6.5366,15.8263,0
39.88888889,6.0858,14.9569,0
40.36666667,10.7065,15.8263,0
38.88888889,10.4972,11.2056,0
39.97777778,8.0017,11.0285,0
42.2,2.4633,9.982,0
43.96111111,9.3058,9.982,0
44.94444444,7.1645,10.3523,0
46.18333333,11.753,9.982,0
46.36666667,7.1323,11.27,0
47.37222222,3.6225,11.4471,0
47.67222222,1.7549,11.27,0
47.72222222,8.6779,11.27,0
46.23888889,2.8336,11.3988,0
44.06666667,9.2414,11.2056,0
43.95555556,7.4221,11.2056,0
42.28888889,3.542,11.0285,0
40.02222222,3.1073,9.9015,0
39.37777778,6.44,15.6009,0
39.41666667,4.6046,14.7154,0
41.82777778,3.0268,15.8263,0
40.76111111,5.1681,0.6118,0
42.15555556,2.8497,3.6386,0
39.67222222,5.7155,0.6118,0
38.15,6.762,0.6118,0
40.2,5.6189,1.1109,0
40.11666667,2.254,0.5152,0
40.16111111,0.3381,0.4347,0
41.24444444,2.7531,0.6923,0
42.24444444,2.254,2.2057,0
43.91111111,8.0983,4.2021,0
45.61666667,2.2862,6.3112,0
45.07222222,3.2844,6.3434,0
45.07222222,7.5992,8.1949,0
44.26666667,10.5616,6.8908,0
46.01666667,6.6654,7.2772,0
45.02777778,7.7119,7.2772,0
43.94444444,7.2772,6.3112,0
42.91666667,11.4793,4.7495,0
42.89444444,5.2808,5.2164,0
42.4,2.3506,5.8282,0
42.26666667,8.05,6.1985,0
42.22222222,6.1985,6.1985,0
41.25,2.7692,3.8318,0
41.52777778,3.1556,4.508,0
41.53888889,5.9892,3.1234,0
39.43888889,5.9731,1.8032,0
41.43888889,6.279,3.8801,0
41.39444444,6.44,3.864,0
41.52777778,6.4239,3.2522,0
41.95,4.83,0.644,0
